quality_score,Species,Country of Origin,Farm Name,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,Harvest Year,Grading Date,Owner.1,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,Expiration,Min_Altitude,Max_Altitude
83.42,Arabica,Uganda,Bulago & Buginyanya,BCU,7697,Bugisu Cooperative Union,1800,Eastern,Bulago & Buginyanya,20,1218,2015,"July 21st, 2016",Bugisu Cooperative Union,SL14,Completed,Washed / Wet,7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,83,11%,0 full defects,0,Green,1 full defects,"July 21st, 2017",1800,1800
83.42,Arabica,Thailand,Matsuzawa Coffee,Matsuzawa Coffee,,Matsuzawa Coffee,1200,Thailand,Matsuzawa Coffee,500,25,2015,"June 27th, 2016",???? Koju Matsuzawa,Catimor,Completed,Washed / Wet,7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,83,13%,0 full defects,0,Bluish-Green,0 full defects,"June 27th, 2017",1200,1200
83.42,Arabica,El Salvador,La Joya,El Borbollon,9-391-73,Consejo Salvadoreño del Café,1330,Apaneca - Ilamatepec,"Ibero El Salvador, S.A. de C.V.",275,69,2016,"April 25th, 2016",Consejo Salvadoreño del Café,Bourbon,Completed,Washed / Wet,7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,7.58,83,11%,0 full defects,0,,0 full defects,"April 25th, 2017",1330,1330
83.42,Arabica,Colombia,,NEIVA,3-59-2236,CARCAFE LTDA,442 msnm,HUILA,FRANKLIN DUSSAN/ANDRES RODRIGUEZ/HIPOLITO TORRES,275,70,2015,"April 29th, 2015",CARCAFE LTDA CI,Caturra,Completed,Natural / Dry,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,83,12%,4 full defects,0,Green,0 full defects,"April 28th, 2016",442,442
83.42,Arabica,Brazil,CACHOEIRA DA GRAMA FARM,,002/4542/0886,BOURBON SPECIALTY COFFEES,,VALE DA GRAMA,GABRIEL CARVALHO DIAS,300,60,2014,"January 15th, 2015",BOURBON SPECIALTY COFFEES,Yellow Bourbon,Completed,Semi-washed / Semi-pulped,7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,83,12%,0 full defects,0,Green,6 full defects,"January 15th, 2016",,
83.42,Arabica,"Tanzania, United Republic Of",Ngila Estate,Ngila Estate Ltd,C50,Ngila Estate Ltd,1600,Karatu Northern,Ngila Estate Ltd,39,60,2014,"December 12th, 2014",Ngila Estate Ltd,Bourbon,Completed,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,83,13%,0 full defects,0,Green,4 full defects,"December 12th, 2015",1600,1600
83.42,Arabica,Colombia,,TRILLADORA BONANZA,15-3-79-0002,ecom cca sa,1813,HUILA,,250,70,2014/2015,"October 15th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Completed,Washed / Wet,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,83,12%,0 full defects,0,Green,1 full defects,"October 15th, 2015",1813,1813
83.42,Arabica,Guatemala,EL PAPATURRO,BENEFICIO IXCHEL,11/23/0562,"UNEX (GUATEMALA), S.A",4000 PSNM,ORIENTE,AMILCAR LAPOLA,250,69,2013,"August 21st, 2014",Juan Luis Alvarado Romero,Bourbon,Completed,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,83,10%,0 full defects,0,Green,1 full defects,"August 21st, 2015",4000,4000
83.42,Arabica,Guatemala,FINCA MEDINA,BENEFICIO SIEMBRAS VISIÓN (154),11/11711/6,"SIEMBRAS VISIÓN, S.A.",1500 msnm,ANTIGUA,"SIEMBRAS VISIÓN, S.A.",250,69,2014,"February 18th, 2014",Juan Luis Alvarado Romero,Caturra,Completed,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,83,10%,0 full defects,0,Green,2 full defects,"February 18th, 2015",1500,1500
83.42,Arabica,Guatemala,EL MORITO,BENEFICIO IXCHEL,11/23/1040,"UNEX (GUATEMALA), S.A.",4300,ORIENTE,ROBERTO MONTERROSO,250,69,2013,"July 16th, 2013",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,83,11%,0 full defects,0,Green,0 full defects,"July 16th, 2014",4300,4300
83.42,Arabica,United States (Hawaii),,,2233803 KONA NO. 1,Kona Pacific Farmers Cooperative,,KONA,,13,9.1125,2012,"January 24th, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,83,0%,0 full defects,0,Green,2 full defects,"January 24th, 2014",,
83.42,Arabica,Colombia,varios,trilladora Bonanza,3-68-0147,Exportadora de Cafe Condor S.A,1450 msnm,cundinamarca,Exportadora de cafe condor,250,70,2012,"June 26th, 2012",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,83,11%,0 full defects,0,Green,2 full defects,"June 26th, 2013",1450,1450
83.38,Arabica,Mexico,,,016-2729-001-A-LAB-SS2,,900-1200mtr,Nayarit,"Productores de Cafe de El Cuarenteno, S. de P.R. de R.L",6,6,January Through April,"May 26th, 2010",Grounds for Health Admin,,Completed,,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,8,83,9%,2 full defects,0,,4 full defects,"May 26th, 2011",900,1200
83.33,Arabica,Colombia,Various,Bonanza-Armenia,68-0054,Exportadora de Cafe Condor S.A,1650,Huila,various,275,70,2016,"November 8th, 2016",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,83,0%,0 full defects,1,,0 full defects,"November 8th, 2017",1650,1650
83.33,Arabica,Colombia,,Bachue,3-37-3729,Racafe & Cia S.C.A,,Guayatá,,130,70,2016,"June 15th, 2016",Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,83,0%,0 full defects,0,Blue-Green,0 full defects,"June 15th, 2017",,
83.33,Arabica,Colombia,,BACHUE,3-37-2623,Racafe & Cia S.C.A,,Huila,La Plata,275,70,2016,"May 5th, 2016",Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83,0%,1 full defects,0,Green,2 full defects,"May 5th, 2017",,
83.33,Arabica,Brazil,Rio Verde,Ipanema Coffees,002/1660/0106,Ipanema Coffees,1227,South Minas Gerais,Ipanema Agrícola SA,10,2,2015/2016,"October 12th, 2015",Ipanema Coffees,Catuai,Completed,Semi-washed / Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,83,10%,1 full defects,0,Green,5 full defects,"October 11th, 2016",1227,1227
83.33,Arabica,Mexico,ECC,ECC,1620280402,Exportadora Café California,1200,Chiapas,ECC,275,1,2014,"July 14th, 2015",ANDREAS KUSSMAUL,Caturra,Completed,Washed / Wet,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,83,12%,0 full defects,0,Green,2 full defects,"July 13th, 2016",1200,1200
83.33,Arabica,Colombia,varios,Trilladora agrícola de santander,3-68-0103,Exportadora de Cafe Condor S.A,1650 msnm,Santander,varios,275,70,2015,"April 8th, 2015",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,83,11%,0 full defects,0,Green,1 full defects,"April 7th, 2016",1650,1650
83.33,Arabica,"Tanzania, United Republic Of",Mondul Coffee Estate,Mondul Coffee Estate,C27,Mondul Coffee Estate,1700,Arusha,Mondul Coffee Estate,10,60,2014,"December 12th, 2014",AFCA,Other,Completed,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,83,12%,0 full defects,0,Green,6 full defects,"December 12th, 2015",1700,1700
83.33,Arabica,Mexico,EL PINO,"EL PINO, COSAUTLAN DE CARVAJAL",0,"CAFÉ ANDRADE, S.A. DE C.V.",1100,COSAUTLAN DE CARVAJAL,JOSÉ LUIS ANDRADE SANDARA,200,1,2013,"July 15th, 2014",J.ANDRADE,Other,Completed,Washed / Wet,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,83,12%,0 full defects,0,Green,0 full defects,"July 15th, 2015",1100,1100
83.33,Arabica,Costa Rica,SEVERAL,CAFE DE ALTURA SAN RAMON,5-562-0013,The Coffee Source Inc.,1300 MSNM,SAN RAMON,SEVERAL,250,0.273375,2014,"April 7th, 2014",The Coffee Source Inc.,Caturra,Completed,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,83,12%,0 full defects,0,Green,3 full defects,"April 7th, 2015",1300,1300
83.33,Arabica,United States (Hawaii),,,KP012314,Kona Pacific Farmers Cooperative,,KONA,,12,9.1125,2014,"February 25th, 2014",Eileen Koyanagi,Hawaiian Kona,Completed,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,83,11%,0 full defects,0,Bluish-Green,1 full defects,"February 25th, 2015",,
83.33,Arabica,Costa Rica,SEVERAL,SEVERAL - CORICAFE DRY MILL,5-0048-0023,CORICAFE S.A.,1100-1300,CENTRAL VALLEY - WEST VALLEY,CORICAFE BLEND,250,1,2013,"February 14th, 2014",Eric Thormaehlen,Catuai,Completed,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,83,11%,0 full defects,0,Green,3 full defects,"February 14th, 2015",1100,1300
83.33,Arabica,Haiti,MARRE BLANCHE,,,ITIAH Coffee LLC.,4200 FEET,"THIOTTE, HAITI",COOPCAB,2,0.3645,2012,"October 3rd, 2013",ITIAH COFFEE LLC,Typica,Completed,Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,83,11%,0 full defects,0,Green,4 full defects,"October 3rd, 2014",4200,4200
83.33,Arabica,Colombia,,NEIVA,3-59-1326,CARCAFE LTDA CI,1000 MSNM,PITALITO HUILA,ORLANDO ORTIZ / HIPOLITO TORRES,250,70,2013,"April 26th, 2013",CARCAFE LTDA CI,Caturra,Completed,Natural / Dry,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,83,11%,0 full defects,0,Green,1 full defects,"April 26th, 2014",1000,1000
83.33,Arabica,Guatemala,EL SACRAMENTO,BENEFICIO IXCHEL,11/23/0419,"UNEX (GUATEMALA),S.A",4300,ORIENTE,LUIS RODRIGUEZ,250,69,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,83,11%,0 full defects,0,Green,3 full defects,"February 26th, 2014",4300,4300
83.33,Arabica,United States (Hawaii),,,2234503 KONA PRIME,Kona Pacific Farmers Cooperative,,KONA,,7,9.1125,2012,"January 24th, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,83,10%,0 full defects,0,Bluish-Green,4 full defects,"January 24th, 2014",,
83.33,Arabica,Burundi,Sogestal Kayanza,Kiriyama Washing Station,,The Specialty Coffee Appraisers Institute of Asia,1880,Kayanza,,220,60,2012,"August 29th, 2012",Steven Kil,Bourbon,Completed,Washed / Wet,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,83,0%,0 full defects,0,,5 full defects,"August 29th, 2013",1880,1880
83.33,Arabica,Colombia,,trilladora bonanza,3-68-0133,Exportadora de Cafe Condor S.A,1750 msnm,huila,condor,250,70,2012,"May 30th, 2012",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,83,0%,0 full defects,0,Green,1 full defects,"May 30th, 2013",1750,1750
83.25,Arabica,Mexico,CORTA PICO,LA CATEDRAL DEL CAFE,,CAFE DE DON BALBINO S.C. DE R.L. DE C.V.,1600,SIERRA MADRE OCCIDENTAL,BALBINO RAMIREZ FLORES,50,50,2017,"March 7th, 2017",CAFE DE DON BALBINO S.C. DE R.L. DE C.V.,Typica,Completed,Washed / Wet,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,83,11%,0 full defects,0,Blue-Green,0 full defects,"March 7th, 2018",1600,1600
83.25,Arabica,Costa Rica,Estate La Patricia,Micro Beneficio La Cabaña-Javier Meza,,Bold Coast Coffee,1900,Tarrazu,Manuel Montero,29,46,2016,"January 30th, 2017",Troy Quimby,Catuai,Completed,Pulped natural / honey,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,83,11%,0 full defects,0,Green,0 full defects,"January 30th, 2018",1900,1900
83.25,Arabica,Costa Rica,Coopellanobonito,Coocafe R.L,5-139-0050,Panamerican Coffee Trading,,Tarrazu,Coopellanobonito,275,69,2015,"September 20th, 2016",Rodrigo Soto,,Completed,Washed / Wet,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,83,11%,0 full defects,0,,0 full defects,"September 20th, 2017",,
83.25,Arabica,Guatemala,LINDA VISTA,LINDA VISTA,11/973/152,"MERCON GUATEMALA, S.A.",2100,NUEVO ORIENTE,PABLO CHUY,275,0,2016,"August 12th, 2016",Juan Luis Alvarado Romero,Pacas,Completed,Washed / Wet,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,83,11%,0 full defects,2,Green,7 full defects,"August 12th, 2017",2100,2100
83.25,Arabica,Uganda,Kawacom Uganda LTD Sipi Farmers Group,Kawacom Uganda LTD,035/170/5061178,Kawacom Uganda LTD,,"Sipi, Mt. Elgon",Kawacom Uganda LTD,150,9000,2015,"May 19th, 2016",Kawacom Uganda LTD,SL14,Completed,Washed / Wet,7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,7.67,83,12%,0 full defects,0,Green,1 full defects,"May 19th, 2017",,
83.25,Arabica,Brazil,,Dinamo Armazens Gerais Ltda,002/4542/0189,BOURBON SPECIALTY COFFEES,,CAMPOS ALTOS - CERRADO,,300,60,2016,"January 12th, 2016",BOURBON SPECIALTY COFFEES,,Completed,,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,83,12%,0 full defects,0,Green,4 full defects,"January 11th, 2017",,
83.25,Arabica,Colombia,,NEIVA,3-59-0318,CARCAFE LTDA,442 msnm,HUILA,FRANKLIN DUSSAN,304,35,2015/2016,"November 27th, 2015",CARCAFE LTDA CI,Caturra,Completed,Natural / Dry,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,83,0%,0 full defects,0,Green,2 full defects,"November 26th, 2016",442,442
83.25,Arabica,Mexico,Los charcos,La yerba,3,PRODUCTOS Y SERVICIOS CHILINDRÓN S.A DE C.V,1261,Cuarenteño,Rafael Arroyo Zoto,11,2,2015,"July 14th, 2015",PRODUCTOS Y SERVICIOS CHILINDRON S.A. DE C.V.,Typica,Completed,Natural / Dry,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,83,12%,0 full defects,0,Bluish-Green,2 full defects,"July 13th, 2016",1261,1261
83.25,Arabica,Taiwan,Sunshine Valley Estate ??????,Sunshine Valley Estate ??????,Taiwan,Taiwan Coffee Laboratory,1000 M,"Guoxing Township, Nantou County ??????",LIN YEN CHIEN ???,10,15,2015,"June 18th, 2015","Lin, Che-Hao Krude ???",Bourbon,Completed,Washed / Wet,7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,83,10%,0 full defects,0,Blue-Green,0 full defects,"June 17th, 2016",1000,1000
83.25,Arabica,Taiwan,????,????,Taiwanw??,????,800??,????,???,10,60,2014,"November 23rd, 2014",CQI Taiwan ICP CQI??????,Typica,Completed,Washed / Wet,7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,83,10%,0 full defects,0,Green,0 full defects,"November 23rd, 2015",800,800
83.25,Arabica,Colombia,,Trilladora Bonanza,3-79-1818,ecom cca sa,1483,eje cafetero,,250,70,2014,"June 24th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Completed,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,83,0%,0 full defects,0,Green,0 full defects,"June 24th, 2015",1483,1483
83.25,Arabica,Guatemala,FINCA MEDINA,BENEFICIO SIEMBRAS VISIÓN (154),11-11711-85 (MED),"SIEMBRAS VISIÓN, S.A.",1500 MSNM,ANTIGUA,"SIEMBRAS VISIÓN, S.A.",26,69,2014,"March 7th, 2014",Juan Luis Alvarado Romero,Caturra,Completed,Washed / Wet,7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,83,10%,0 full defects,0,Green,1 full defects,"March 7th, 2015",1500,1500
83.25,Arabica,Colombia,,Trilladora Bonanza,3-68-0215,Exportadora de Cafe Condor S.A,1750 msnm,huila,,275,70,2013,"August 2nd, 2013",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,83,11%,0 full defects,0,Green,1 full defects,"August 2nd, 2014",1750,1750
83.25,Arabica,Mexico,VARIAS COMUIDADES,PRODUCTORES DE CAFES ESPECIALES SC,2406,"FINCA TRIUNFO VERDE, S.C.",1300,CHIAPAS,VRIOS PRODUCTORES,200,1,2013,"March 29th, 2013",CALIXTO GUILLEN VAZQUEZ,Bourbon,Completed,Washed / Wet,7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,83,12%,0 full defects,0,Green,6 full defects,"March 29th, 2014",1300,1300
83.25,Arabica,United States (Hawaii),,,KF313630,Kona Pacific Farmers Cooperative,,KONA,,11,9.1125,2012,"March 21st, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,7.58,7.75,7.83,8,8.08,7.67,9.33,10,9.33,7.67,83,11%,0 full defects,0,Bluish-Green,4 full defects,"March 21st, 2014",,
83.25,Arabica,Mexico,FINCA TEOCELO,MONTE BLANCO,0,FINCA TEOCELO,,TEOCELO,ERNESTO RODRIGUEZ LUNA,10,1,2012,"August 1st, 2012",ERNESTO RODRIGUEZ LUNA,Mundo Novo,Completed,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83,13%,0 full defects,0,Green,7 full defects,"August 1st, 2013",,
83.25,Arabica,Mexico,MATA LARGA,FINCA MATA LARGA,0,,1000,FORTÍN DE LAS FLORES,MODESTO LANDEROS FLORES,54,1,2012,"July 11th, 2012",MODESTO LANDEROS FLORES,Caturra,Completed,Washed / Wet,7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,83,12%,0 full defects,0,Blue-Green,0 full defects,"July 11th, 2013",1000,1000
83.25,Arabica,Guatemala,AGROPECUARIA QUIAGRAL,BENEFICIO IXCHEL,11/23/0767,"UNEX (GUATEMALA), S.A",4300,ORIENTE,AGROPECUARIA QUIAGRAL,250,1,2012,"July 9th, 2012",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,83,11%,0 full defects,0,Green,9 full defects,"July 9th, 2013",4300,4300
83.25,Arabica,Brazil,Água Limpa,,002/1251/0241,NUCOFFEE,1200m,Grama Valley,Eliane de Andrade Cyrino Noqueira,30,60,2012,"February 23rd, 2012",NUCOFFEE,Yellow Bourbon,Completed,Semi-washed / Semi-pulped,7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,83,11%,0 full defects,0,Blue-Green,1 full defects,"February 22nd, 2013",1200,1200
83.25,Arabica,Colombia,,trilladora Bonanaza,3-68-0089,Exportadora de Cafe Condor S.A,175,Huila,,250,70,2012,"February 22nd, 2012",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,83,12%,0 full defects,0,Green,1 full defects,"February 21st, 2013",175,175
83.25,Arabica,Colombia,,,3-37-0661,C.I.Racafe & Cia S.C.A,De 1600 a 1950 msnm,La Plata,La Plata,175,70,2012,"February 9th, 2012",Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,83,11%,0 full defects,0,Green,0 full defects,"February 8th, 2013",1600,1600
83.25,Arabica,Colombia,,Trilladora bonanza-armenia,3-68-0205,,1600-1800msnm,huila,,250,70,1T/2011,"June 14th, 2011",Exportadora de Cafe Condor S.A,,Completed,,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,7.5,83,8%,0 full defects,0,,0 full defects,"June 13th, 2012",1600,1800
83.25,Arabica,Colombia,,trilladora Bonanza-Calarca-quindio,3-68-0107,,1880 msnm,Cauca,,250,70,4t/2010,"February 22nd, 2011",Exportadora de Cafe Condor S.A,,Completed,,8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,83,13%,0 full defects,0,,1 full defects,"February 22nd, 2012",1880,1880
83.25,Arabica,Colombia,,Trilladora Bonanza - Armenia Quindio,3-068-0108,,1800 m.s.n.m,Cundinamarca,Exportadora de Café Cóndor S.A,250,70,4T/2010,"January 17th, 2011",Exportadora de Cafe Condor S.A,,Completed,,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,83,4%,0 full defects,0,,1 full defects,"January 17th, 2012",1800,1800
83.17,Arabica,Brazil,Fazenda Capoeirinha,Dry mill,002/1660/0079,Ipanema Coffees,890,South of Minas Gerais,Ipanema Agricola S.A,320,60,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Completed,Natural / Dry,7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,83,11%,0 full defects,0,Green,4 full defects,"October 20th, 2018",890,890
83.17,Arabica,Guatemala,BENEFICIO EL TORREON,BENEFICIO IXCHELL,11/23/0673,"UNEX GUATEMALA, S.A.",1901,ORIENTE,AGROINDUSTRIAS CAFETALERAS,275,69,2017,"August 24th, 2017",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,83,10%,0 full defects,0,Green,1 full defects,"August 24th, 2018",1901,1901
83.17,Arabica,"Tanzania, United Republic Of",Mamsera,Rafiki Coffee Limited.,033/0004,VOLCAFE/TaylorWinch Tanzania Ltd,16.8,Moshi,Mamsera,320,60,2016,"June 20th, 2017",Taylor Winch (T) Ltd,Bourbon,Completed,Washed / Wet,7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,83,12%,0 full defects,0,Green,3 full defects,"June 20th, 2018",16,16
83.17,Arabica,Vietnam,Apollo Estate,YES,,"Sunvirtue Co., Ltd.",1550,Dala,"Yeh, Li Chuan",1,2,2017,"May 8th, 2017","Sunvirtue Co., Ltd.",Catimor,Completed,Natural / Dry,7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,83,7%,0 full defects,0,None,0 full defects,"May 8th, 2018",1550,1550
83.17,Arabica,Guatemala,FINCA MEDINA,BENEFICIO SIEMBRAS VISION (154),11/11711/58,"SIEMBRAS VISION, S.A.",1500,ANTIGUA,FINCA MEDINA,250,1500,2016,"May 23rd, 2016",Juan Luis Alvarado Romero,Caturra,Completed,Washed / Wet,7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,83,11%,2 full defects,2,Green,3 full defects,"May 23rd, 2017",1500,1500
83.17,Arabica,Honduras,BETHEL,DRY MILL,13-63-214,CADEXSA,1450,Marcala,JOSE OMAR ACOSTA,275,69,2016,"May 2nd, 2016",CADEXSA,Catuai,Completed,Washed / Wet,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83,11%,0 full defects,1,Blue-Green,1 full defects,"May 2nd, 2017",1450,1450
83.17,Arabica,China,Chen Lin,Mojiang Jinggong Estate Speciality Development Co.Ltd Mill,,Yunnan Coffee Exchange,1200,Yunnan Province Pu'er City Mojiang County,Mojiang Jinggong Estate Speciality Development Co.Ltd,3,60,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Completed,Washed / Wet,7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,83,11%,0 full defects,0,Green,0 full defects,"April 6th, 2017",1200,1200
83.17,Arabica,China,Yunnan Success Trade Co.Ltd,Yunnan Success Trade Co.Ltd Mill,,Yunnan Coffee Exchange,1600,Dehong Prefecture,Yunnan Success Trade Co.Ltd,3,60,2015,"April 5th, 2016",Yunnan Coffee Exchange,Catimor,Completed,Washed / Wet,7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,83,10%,0 full defects,0,Green,3 full defects,"April 5th, 2017",1600,1600
83.17,Arabica,El Salvador,Agua Caliente,Agua Caliente,9-392-68,Consejo Salvadoreño del Café,1350,Apaneca-Ilamatepec,Ecom Agroindustrial Corp. Ltd.,275,69,2016,"March 29th, 2016",Consejo Salvadoreño del Café,Bourbon,Completed,Washed / Wet,7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,83,0%,0 full defects,0,Green,0 full defects,"March 29th, 2017",1350,1350
83.17,Arabica,Guatemala,FINCA MEDINA,BENEFICIO SIEMBRAS VISION (154),11/11711/1,"SIEMBRAS VISION, S.A.",1500msnm,ANTIGUA,FINCA MEDINA,150,69,2015,"October 29th, 2015",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,83,11%,0 full defects,0,Green,1 full defects,"October 28th, 2016",1500,1500
83.17,Arabica,Guatemala,"LA ESPERANZA, MARGARITA NUYES",BENEFICIO IXCHEL,11/23/2004,"UNEX GUATEMALA, S.A.",1400-1900 PSN,ORIENTE,PAPATURRO,100,69,2015,"September 29th, 2015",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,83,12%,0 full defects,0,Green,3 full defects,"September 28th, 2016",1400,1900
83.17,Arabica,Kenya,,,37-0843-3305,Taylor Winch (Coffee) Ltd.,approx.1'500 metres a.s.l.,kenya,,300,2,2014,"July 3rd, 2015",Taylor Winch (Coffee) Ltd.,SL28,Completed,Washed / Wet,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,83,10%,0 full defects,0,Bluish-Green,1 full defects,"July 2nd, 2016",1,1
83.17,Arabica,Thailand,,,-,Doi Tung Development Project,800++,THAILAND,Doi Tung Development Project,1,1,2014,"June 9th, 2015",Doi Tung Development Project,,Completed,Washed / Wet,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,83,12%,0 full defects,0,Bluish-Green,0 full defects,"June 8th, 2016",800,800
83.17,Arabica,"Tanzania, United Republic Of",Myanganyanga,Tutunze Kahawa Ltd,C9,Tutunze Kahawa Ltd,1653,Mbinga,Tutunze Kahawa Ltd,180,60,2014,"December 12th, 2014",Tutunze Kahawa Ltd,Other,Completed,Washed / Wet,7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,83,13%,0 full defects,0,Bluish-Green,6 full defects,"December 12th, 2015",1653,1653
83.17,Arabica,Colombia,,,3-37-0119,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,232,70,2014,"November 5th, 2014",Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,83,0%,0 full defects,0,,4 full defects,"November 5th, 2015",1600,1600
